width,space,length,gnd_width,unshield_length,via_thickness,metal_thickness,vin,vrise,period,txres,delay,BER
4.6,3.22,3209,3.45,337,1.16,1.62,0.5,28,479.25,18,64.313,0.000000054214
4.6,3.22,3209,3.45,337,1.16,1.62,0.55,20.75,108.25,54.5,69.076,0.039801
4.6,3.22,3209,3.45,337,1.16,1.62,0.85,10,224,33.5,70.55,0.000062527
4.6,3.22,3209,3.45,337,1.16,1.62,0.6,57.75,414,61.5,-1835.871,0.00000057518
4.6,3.22,3209,3.45,337,1.16,1.62,1.2,17.25,157.5,29,-283.502,0.02128
4.6,3.22,3209,3.45,337,1.16,1.62,0.7,64,545.25,73.5,119.781,0.0000000016695
4.6,3.22,3209,3.45,337,1.16,1.62,1.4,57.25,555.75,23,66.044,2.5062E-22
4.6,3.22,3209,3.45,337,1.16,1.62,1.2,19.25,350.25,66.5,-1544.649,0.00014504
4.6,3.22,3209,3.45,337,1.16,1.62,1,50.75,332.5,38,76.507,2.1601E-10
3.55,2.02,4386,1.8,361,1.58,0.6,0.5,81,530.5,66,135.492,0.000000032585
3.55,2.02,4386,1.8,361,1.58,0.6,1.1,11,568.5,12.5,86.269,6.642E-17
3.55,2.02,4386,1.8,361,1.58,0.6,0.8,17.5,216.25,44.5,100.408,0.00048342
3.55,2.02,4386,1.8,361,1.58,0.6,1.25,11,142,40.5,96.545,0.0035941
3.55,2.02,4386,1.8,361,1.58,0.6,0.65,40.75,324,59.5,113.092,0.00015017
3.55,2.02,4386,1.8,361,1.58,0.6,1,39.25,461.5,52,111.396,0.0000000027548
3.55,2.02,4386,1.8,361,1.58,0.6,0.8,70,386,22.5,95.629,1.2273E-27
3.55,2.02,4386,1.8,361,1.58,0.6,1.35,44,406.5,71.5,128.646,0.00016095
3.55,2.02,4386,1.8,361,1.58,0.6,1,47.75,252.5,25,96.274,3.8019E-14
3.55,2.02,4386,1.8,361,1.58,0.6,0.55,14.25,88,33.5,86.911,0.035616
0.8,3.16,1655,3.45,579,1.38,0.74,0.45,75.25,450.75,64.5,99.135,3.9493E-21
0.8,3.16,1655,3.45,579,1.38,0.74,0.65,60.25,400,51.5,88.553,2.0455E-12
0.8,3.16,1655,3.45,579,1.38,0.74,1.15,14.5,164.75,33,76.105,0.00000051714
0.8,3.16,1655,3.45,579,1.38,0.74,0.5,71,366,28,76.894,0.0000000066176
0.8,3.16,1655,3.45,579,1.38,0.74,1.2,59.75,523,48.5,86.862,2.2591E-26
0.8,3.16,1655,3.45,579,1.38,0.74,0.7,78.25,565,60.5,95.842,2.4112E-28
0.8,3.16,1655,3.45,579,1.38,0.74,1.05,9.25,300.5,71,93.485,0.000023913
0.8,3.16,1655,3.45,579,1.38,0.74,0.9,31.5,287,13.5,66.784,0.00000043052
0.8,3.16,1655,3.45,579,1.38,0.74,0.85,10.75,83,22,70.207,0.02898
0.8,3.16,1655,3.45,579,1.38,0.74,1.35,11.75,184,41,78.683,0.000007222
2.75,3.96,2315,0.95,552,0.56,1.8,1.15,18.5,325.75,28.5,78.378,0.000025829
2.75,3.96,2315,0.95,552,0.56,1.8,0.95,67.5,592.25,49,88.788,1.0175E-16
2.75,3.96,2315,0.95,552,0.56,1.8,0.7,21.25,281.75,23,-555.356,0.027052
2.75,3.96,2315,0.95,552,0.56,1.8,0.65,31.5,202.75,61,88.383,0.023406
2.75,3.96,2315,0.95,552,0.56,1.8,0.9,27.5,155,35.5,-270.41,0.00001153
2.75,3.96,2315,0.95,552,0.56,1.8,0.5,9.75,373.25,70.5,-1068.101,0.00000070707
2.75,3.96,2315,0.95,552,0.56,1.8,1.3,11,80.5,63,-105.827,0.052295
2.75,3.96,2315,0.95,552,0.56,1.8,1.25,41.75,424,54.5,89.541,0.0000000039872
2.75,3.96,2315,0.95,552,0.56,1.8,1.05,85.5,466.5,17,70.079,0.0035194
2.75,3.96,2315,0.95,552,0.56,1.8,0.45,71.75,547.5,41.5,83.522,1.1102E-24
3.25,3.56,4096,5,424,1.46,1.22,0.8,47.75,433.75,20.5,79.488,0.00000010236
3.25,3.56,4096,5,424,1.46,1.22,0.95,17.5,195.25,31,86.86,0.0060708
3.25,3.56,4096,5,424,1.46,1.22,1.25,12,585.5,69,-2618.671,7.2318E-14
3.25,3.56,4096,5,424,1.46,1.22,0.4,38.75,285,48.5,91.39,0.000004625
3.25,3.56,4096,5,424,1.46,1.22,1,52.5,520.75,54,95.248,1.006E-13
3.25,3.56,4096,5,424,1.46,1.22,0.75,61.25,334,31,85.569,3.066E-10
3.25,3.56,4096,5,424,1.46,1.22,1.2,20,373.75,56.5,94.324,0.00000018576
3.25,3.56,4096,5,424,1.46,1.22,1.3,20.5,121.5,13.5,-192.469,0.0014554
3.25,3.56,4096,5,424,1.46,1.22,0.7,12.75,155.75,38,87.702,0.0010847
3.25,3.56,4096,5,424,1.46,1.22,0.5,77.25,448,67,105.934,0.00000058103
3.2,3.62,1538,3.05,429,0.46,1.96,0.55,69.25,539,22,61.882,8.9708E-11
3.2,3.62,1538,3.05,429,0.46,1.96,0.95,22.75,250.5,56.5,74.841,0.00085052
3.2,3.62,1538,3.05,429,0.46,1.96,1.35,87.5,462.5,29,66.247,1.7129E-11
3.2,3.62,1538,3.05,429,0.46,1.96,1.2,18.5,102.5,13.5,-163.158,0.013975
3.2,3.62,1538,3.05,429,0.46,1.96,0.8,18.75,174.25,69,-466.749,0.0055744
3.2,3.62,1538,3.05,429,0.46,1.96,1.05,13.25,374.75,64.5,-1658.868,0.0000054375
3.2,3.62,1538,3.05,429,0.46,1.96,1.25,29.75,224.5,32.5,66.366,0.006718
3.2,3.62,1538,3.05,429,0.46,1.96,0.65,29,587.75,45,73.118,5.3108E-18
3.2,3.62,1538,3.05,429,0.46,1.96,0.75,22.75,315.25,54.5,-1377.346,0.00000062356
3.2,3.62,1538,3.05,429,0.46,1.96,0.4,62.25,405.5,42.5,74.773,3.1666E-14
4.5,2.76,3084,1.75,591,1.92,1.74,1.05,102.5,584.75,65.5,94.457,1.682E-10
4.5,2.76,3084,1.75,591,1.92,1.74,0.4,34.75,186.5,15.5,-868.272,0.071597
4.5,2.76,3084,1.75,591,1.92,1.74,0.75,24.25,150.25,44,-261.317,0.0074665
4.5,2.76,3084,1.75,591,1.92,1.74,0.9,51,514.25,38.5,76.555,0.00000063625
4.5,2.76,3084,1.75,591,1.92,1.74,1.15,10.75,476.75,35.5,75.904,0.000027418
4.5,2.76,3084,1.75,591,1.92,1.74,0.85,32.5,268,50.5,81.295,0.0072829
4.5,2.76,3084,1.75,591,1.92,1.74,1.25,13.5,83.75,19.5,-114.79,0.027556
4.5,2.76,3084,1.75,591,1.92,1.74,0.6,37.25,443.5,26,-389.498,0.000019869
4.5,2.76,3084,1.75,591,1.92,1.74,1.3,21,297.25,73,-1283.595,0.00013163
4.5,2.76,3084,1.75,591,1.92,1.74,0.65,16.5,369.5,61,-1618.911,0.00000077763
2.35,2.2,3670,4.8,392,1.2,1.18,0.8,70,563.5,23.5,81.924,0.0000000021659
2.35,2.2,3670,4.8,392,1.2,1.18,1.15,37.75,457,41.5,-2023.678,4.3074E-13
2.35,2.2,3670,4.8,392,1.2,1.18,0.5,40,371.75,57.5,-1629.129,0.00080525
2.35,2.2,3670,4.8,392,1.2,1.18,0.6,11,173.25,13,-309.986,0.0075703
2.35,2.2,3670,4.8,392,1.2,1.18,0.6,8.25,118.5,36.5,81.672,0.0076542
2.35,2.2,3670,4.8,392,1.2,1.18,0.95,56.5,314.75,52,-1237.566,0.0000083871
2.35,2.2,3670,4.8,392,1.2,1.18,1.4,66.25,417,71,142.332,0.000017981
2.35,2.2,3670,4.8,392,1.2,1.18,1.2,91.5,498.5,62.5,136.371,0.0000053136
2.35,2.2,3670,4.8,392,1.2,1.18,0.9,28,200,27.5,83.755,0.016057
2.35,2.2,3670,4.8,392,1.2,1.18,1.1,21.25,284.5,46.5,-795.53,0.00017578
1.15,3.14,3799,1.55,395,0.74,0.74,0.8,55.25,538.25,46,132.179,4.2522E-17
1.15,3.14,3799,1.55,395,0.74,0.74,0.65,28.25,341.75,21,109.286,2.1465E-16
1.15,3.14,3799,1.55,395,0.74,0.74,1.4,66.75,567.25,65,156.815,6.7582E-12
1.15,3.14,3799,1.55,395,0.74,0.74,1.1,14.75,434,12.5,101.262,9.2305E-59
1.15,3.14,3799,1.55,395,0.74,0.74,0.95,63.75,468.25,39.5,126.595,3.4131E-17
1.15,3.14,3799,1.55,395,0.74,0.74,0.75,41,256.25,31.5,115.409,0.000035338
1.15,3.14,3799,1.55,395,0.74,0.74,1.2,32.75,163.75,72,124.231,0.014408
1.15,3.14,3799,1.55,395,0.74,0.74,1.1,18.25,99.5,26.5,95.496,0.042444
1.15,3.14,3799,1.55,395,0.74,0.74,0.5,21.5,301.25,51.5,127.47,0.000053312
1.15,3.14,3799,1.55,395,0.74,0.74,0.45,12.5,204.75,58,122.454,0.0047158
4.75,3.42,4507,2.1,442,1.28,0.54,0.45,31,202.25,31.5,106.941,0.0000012508
4.75,3.42,4507,2.1,442,1.28,0.54,0.6,45,393.25,59,121.359,0.000018537
4.75,3.42,4507,2.1,442,1.28,0.54,1.1,10.25,286.5,22.5,100.074,6.7889E-30
4.75,3.42,4507,2.1,442,1.28,0.54,1,72,506.5,28,105.38,8.9497E-26
4.75,3.42,4507,2.1,442,1.28,0.54,1.2,27,294,72.5,127.306,0.0042442
4.75,3.42,4507,2.1,442,1.28,0.54,0.65,15.75,343.5,53,113.978,0.000071477
4.75,3.42,4507,2.1,442,1.28,0.54,1.35,106.25,565.5,63,140.628,0.000000041381
4.75,3.42,4507,2.1,442,1.28,0.54,0.8,10.25,88.75,43,94.658,0.040232
4.75,3.42,4507,2.1,442,1.28,0.54,0.75,84.25,495.25,45.5,119.495,1.748E-11
4.75,3.42,4507,2.1,442,1.28,0.54,1.25,16.25,132.25,16.5,97.291,0.0020916
3.95,2.44,3700,4.45,557,1.86,1.82,1.05,27.75,504.5,42.5,84.472,9.8966E-18
3.95,2.44,3700,4.45,557,1.86,1.82,0.75,47,572.25,27.5,76.587,0.000000055417
3.95,2.44,3700,4.45,557,1.86,1.82,1.25,33.75,265.5,66.5,-1131.421,0.00016471
3.95,2.44,3700,4.45,557,1.86,1.82,0.6,43,329.5,33.5,82.025,0.00162
3.95,2.44,3700,4.45,557,1.86,1.82,1.35,65.5,399.25,56.5,-1147.872,0.00000017622
3.95,2.44,3700,4.45,557,1.86,1.82,0.8,19,159.75,53,85.665,0.03828
3.95,2.44,3700,4.45,557,1.86,1.82,0.65,13.25,374.25,74,-1636.97,0.000026273
3.95,2.44,3700,4.45,557,1.86,1.82,1.1,39,224,17,-709.986,0.12161
3.95,2.44,3700,4.45,557,1.86,1.82,0.45,22.25,495,48,-2197.46,0.000000030135
3.95,2.44,3700,4.45,557,1.86,1.82,0.95,18.75,99.5,20.5,-144.924,0.0077177
2.05,2.24,2049,2.1,305,1.22,0.58,1.25,18.25,404.25,59,76.938,2.2546E-23
2.05,2.24,2049,2.1,305,1.22,0.58,1,14,174.25,40,67.775,0.000000050477
2.05,2.24,2049,2.1,305,1.22,0.58,0.5,8.25,101,47,67.416,0.0017784
2.05,2.24,2049,2.1,305,1.22,0.58,0.8,50,367.5,52.5,78.922,1.2475E-19
2.05,2.24,2049,2.1,305,1.22,0.58,0.85,40.25,258.75,75,83.33,0.000042473
2.05,2.24,2049,2.1,305,1.22,0.58,1.15,50,552.25,21.5,60.991,2.5112E-52
2.05,2.24,2049,2.1,305,1.22,0.58,1.35,99.5,533.75,67,93.032,3.0633E-32
2.05,2.24,2049,2.1,305,1.22,0.58,0.5,29,217.5,34,66.415,7.1409E-16
2.05,2.24,2049,2.1,305,1.22,0.58,1.05,79,459.75,29,66.466,4.4729E-32
2.05,2.24,2049,2.1,305,1.22,0.58,0.7,27.75,335,14.5,57.494,0.0000035279
1.5,4.14,3932,3.1,359,1.22,0.98,1.2,11,83.25,72.5,84.08,0.036327
1.5,4.14,3932,3.1,359,1.22,0.98,1,22.5,418.25,13,78.613,4.9115E-18
1.5,4.14,3932,3.1,359,1.22,0.98,0.75,49.25,462.75,26.5,87.123,5.7699E-44
1.5,4.14,3932,3.1,359,1.22,0.98,0.6,24,137.25,56.5,92.185,0.0060195
1.5,4.14,3932,3.1,359,1.22,0.98,0.8,75,517.75,43.5,101.173,3.0232E-41
1.5,4.14,3932,3.1,359,1.22,0.98,1.25,45.25,357.75,19.5,83.264,2.0368E-56
1.5,4.14,3932,3.1,359,1.22,0.98,0.5,8.75,260.25,64.5,101.896,0.00043112
1.5,4.14,3932,3.1,359,1.22,0.98,0.45,55.75,291.75,37.5,94.198,2.4577E-12
1.5,4.14,3932,3.1,359,1.22,0.98,1.3,37.75,573,32.5,89.546,3.5136E-77
1.5,4.14,3932,3.1,359,1.22,0.98,1,30,211.75,55,96.056,0.00081356
3.9,4.02,2586,3.9,452,0.42,1.78,0.4,54.25,337.5,24.5,91.504,8.3001E-10
3.9,4.02,2586,3.9,452,0.42,1.78,0.5,24.5,164.75,52,92.978,0.024707
3.9,4.02,2586,3.9,452,0.42,1.78,1.35,12.5,95.5,47.5,-143.581,0.050607
3.9,4.02,2586,3.9,452,0.42,1.78,0.9,47.25,414.75,71,-1595.128,0.010953
3.9,4.02,2586,3.9,452,0.42,1.78,0.7,14,262.5,23.5,-506.969,0.00000012216
3.9,4.02,2586,3.9,452,0.42,1.78,1.1,18.25,585.75,12.5,-1219.157,0.000883
3.9,4.02,2586,3.9,452,0.42,1.78,1.1,33.5,489.5,57.5,-1912.715,0.0001337
3.9,4.02,2586,3.9,452,0.42,1.78,0.75,63,368,33,95.632,0.000000013108
3.9,4.02,2586,3.9,452,0.42,1.78,1.25,37,199,42.5,98.449,0.013975
3.9,4.02,2586,3.9,452,0.42,1.78,1,42.5,505.5,62.5,-1976.61,0.00029519
4.2,3.7,2124,1.85,524,1.56,1.54,0.7,29.25,178.5,31,-337.956,0.007364
4.2,3.7,2124,1.85,524,1.56,1.54,0.55,68,392.25,51,71.716,0.00000093032
4.2,3.7,2124,1.85,524,1.56,1.54,1.25,17.5,91,13,-135.234,0.019462
4.2,3.7,2124,1.85,524,1.56,1.54,0.65,28.25,574.25,22.5,-1209.839,0.0000000026895
4.2,3.7,2124,1.85,524,1.56,1.54,1.4,65.25,506.75,48.5,70.4,1.0091E-16
4.2,3.7,2124,1.85,524,1.56,1.54,1.1,40.5,341.75,38,67.033,0.00052644
4.2,3.7,2124,1.85,524,1.56,1.54,0.95,16.75,211.25,68.5,-586.196,0.0024389
4.2,3.7,2124,1.85,524,1.56,1.54,0.4,25.25,270,69.5,-765.899,0.00014171
4.2,3.7,2124,1.85,524,1.56,1.54,0.85,33.5,332.5,28.5,61.76,0.0035619
4.2,3.7,2124,1.85,524,1.56,1.54,1.1,12.5,494.25,56,72.149,3.6246E-19
2.65,2.7,3424,0.85,514,0.84,1.4,0.8,83.5,435.5,58.5,104.281,0.00000074341
2.65,2.7,3424,0.85,514,0.84,1.4,0.55,46,531.25,15.5,80.197,0.00012909
2.65,2.7,3424,0.85,514,0.84,1.4,0.4,64.5,580.5,37.5,92.067,1.7362E-11
2.65,2.7,3424,0.85,514,0.84,1.4,1.25,16,201.5,49,96.845,0.00017713
2.65,2.7,3424,0.85,514,0.84,1.4,1.35,70.5,491.25,22,83.835,0.0000028939
2.65,2.7,3424,0.85,514,0.84,1.4,0.9,20.5,354,51.5,96.359,0.00000028964
2.65,2.7,3424,0.85,514,0.84,1.4,1.1,8.25,101.5,67.5,-146.76,0.055468
2.65,2.7,3424,0.85,514,0.84,1.4,1.05,59.25,333.75,25.5,86.04,0.0000083871
2.65,2.7,3424,0.85,514,0.84,1.4,0.65,41,258.5,34.5,89.874,0.00000038268
2.65,2.7,3424,0.85,514,0.84,1.4,0.75,17,143.25,73,94.325,0.022216
1.9,4.1,1943,3.3,497,0.56,0.84,1,30.75,194.25,41,86.909,0.0013367
1.9,4.1,1943,3.3,497,0.56,0.84,0.55,67.5,475.75,13.5,71.161,0.00000093495
1.9,4.1,1943,3.3,497,0.56,0.84,0.5,8.75,94.25,67,-138.959,0.062269
1.9,4.1,1943,3.3,497,0.56,0.84,1.2,52,508.5,50.5,93.214,5.4243E-19
1.9,4.1,1943,3.3,497,0.56,0.84,1.35,49.25,254.5,20,74.741,0.00081635
1.9,4.1,1943,3.3,497,0.56,0.84,0.8,36,428,36.5,83.792,2.7598E-14
1.9,4.1,1943,3.3,497,0.56,0.84,0.7,38.75,555.75,47.5,91.654,9.9919E-30
1.9,4.1,1943,3.3,497,0.56,0.84,0.95,19.75,360.75,60,92.05,0.00000019996
1.9,4.1,1943,3.3,497,0.56,0.84,0.7,19.25,134.75,30.5,81.955,0.00002048
1.9,4.1,1943,3.3,497,0.56,0.84,1.15,51.5,300.25,71.5,98.172,0.00027926
1.3,4.08,3995,4.75,484,1.32,0.48,0.7,8.5,99.75,49.5,104.535,0.040754
1.3,4.08,3995,4.75,484,1.32,0.48,1.35,14.5,230.75,58.5,135.224,0.0048408
1.3,4.08,3995,4.75,484,1.32,0.48,0.95,20,137.25,12.5,100.004,0.0057521
1.3,4.08,3995,4.75,484,1.32,0.48,0.65,51,313,37,132.07,0.0000099951
1.3,4.08,3995,4.75,484,1.32,0.48,1.25,74.5,378.25,26,127.139,1.4042E-10
1.3,4.08,3995,4.75,484,1.32,0.48,1.1,93.5,534,73.5,178.023,0.000000016288
1.3,4.08,3995,4.75,484,1.32,0.48,1.1,46,429,21,123.359,1.4944E-17
1.3,4.08,3995,4.75,484,1.32,0.48,0.55,36.75,456.5,68.5,168.044,0.00000048655
1.3,4.08,3995,4.75,484,1.32,0.48,0.45,18.5,243.5,54.5,134.599,0.0020074
1.3,4.08,3995,4.75,484,1.32,0.48,0.8,70,570.5,43,146.754,1.843E-19
1.05,3.98,2322,1.95,318,1.44,0.9,0.45,26,208.5,20,62.515,1.656E-35
1.05,3.98,2322,1.95,318,1.44,0.9,1.3,22.25,135.5,42.5,69.221,0.000019697
1.05,3.98,2322,1.95,318,1.44,0.9,1.3,30.5,387.75,50,75.894,8.7183E-27
1.05,3.98,2322,1.95,318,1.44,0.9,1,23.75,396.5,55.5,79.594,1.0545E-24
1.05,3.98,2322,1.95,318,1.44,0.9,1.2,56.25,300.5,24.5,65.408,3.8025E-21
1.05,3.98,2322,1.95,318,1.44,0.9,0.7,61.75,486,13,58.81,1.4039E-29
1.05,3.98,2322,1.95,318,1.44,0.9,0.55,18.5,546,69.5,87.362,1.5366E-33
1.05,3.98,2322,1.95,318,1.44,0.9,1.05,28,269.75,35.5,68.97,2.9474E-19
1.05,3.98,2322,1.95,318,1.44,0.9,0.8,102.25,584,57.5,90.459,5.4914E-83
1.05,3.98,2322,1.95,318,1.44,0.9,0.65,8.75,126.75,67.5,73.33,0.0044483
3.1,2.56,2271,3.5,486,1.72,0.94,0.8,34.5,339.75,25,64.958,0.002186
3.1,2.56,2271,3.5,486,1.72,0.94,1.35,54.25,276.75,55,76.777,0.00013685
3.1,2.56,2271,3.5,486,1.72,0.94,0.95,82,550,19.5,59.712,0.00000009442
3.1,2.56,2271,3.5,486,1.72,0.94,0.75,30.5,218.25,46.5,71.855,0.0012681
3.1,2.56,2271,3.5,486,1.72,0.94,0.7,8.5,83.25,34.5,-121.018,0.019179
3.1,2.56,2271,3.5,486,1.72,0.94,1.15,23.5,136,70,75.191,0.0173
3.1,2.56,2271,3.5,486,1.72,0.94,0.6,34,390.75,62.5,78.327,0.000000017942
3.1,2.56,2271,3.5,486,1.72,0.94,1.3,51,427.25,17,-885.582,0.0047849
3.1,2.56,2271,3.5,486,1.72,0.94,0.5,32.25,484.75,43,71.848,6.9648E-14
3.1,2.56,2271,3.5,486,1.72,0.94,1.05,23.75,504.5,57.5,76.253,7.2836E-17
1.8,3.08,2178,1.2,435,0.4,1.06,0.4,10.5,139,13.5,-231.91,0.0001057
1.8,3.08,2178,1.2,435,0.4,1.06,0.8,9.5,276,55,93.214,0.0001585
1.8,3.08,2178,1.2,435,0.4,1.06,0.85,37.25,394.25,22.5,80.307,0.000000066017
1.8,3.08,2178,1.2,435,0.4,1.06,1.25,20.75,107,41,82.483,0.036168
1.8,3.08,2178,1.2,435,0.4,1.06,0.9,36.25,232,29,83.362,0.00000015522
1.8,3.08,2178,1.2,435,0.4,1.06,1.05,69.25,559,49.5,96.781,2.9832E-16
1.8,3.08,2178,1.2,435,0.4,1.06,0.65,90.75,502.5,36.5,90.554,8.5327E-16
1.8,3.08,2178,1.2,435,0.4,1.06,0.6,64.75,459.75,67,105.515,0.00000036917
1.8,3.08,2178,1.2,435,0.4,1.06,1.3,22,344,74.5,-973.291,0.00020936
1.8,3.08,2178,1.2,435,0.4,1.06,1.15,27.25,293,56,95.65,0.0000069638
2.45,2.5,2662,2.1,478,1.76,1.96,0.55,31.25,456.25,45.5,71.051,0.000000003105
2.45,2.5,2662,2.1,478,1.76,1.96,0.7,27.75,198.75,54.5,71.788,0.011453
2.45,2.5,2662,2.1,478,1.76,1.96,0.95,31.25,303.25,58,74.295,0.000022325
2.45,2.5,2662,2.1,478,1.76,1.96,1.25,41.25,260.5,75,-731.13,0.0002335
2.45,2.5,2662,2.1,478,1.76,1.96,1,62.5,376,41,69.87,0.000020927
2.45,2.5,2662,2.1,478,1.76,1.96,0.65,48.5,560.5,35.5,67.347,1.012E-24
2.45,2.5,2662,2.1,478,1.76,1.96,1.15,8.25,518,28,65.229,0.00000015116
2.45,2.5,2662,2.1,478,1.76,1.96,0.8,10.5,146.25,63.5,-383.82,0.025827
2.45,2.5,2662,2.1,478,1.76,1.96,0.5,15.75,118,23.5,-195.629,0.00019931
2.45,2.5,2662,2.1,478,1.76,1.96,1.3,79,401.5,14,56.626,0.023684
2.7,4.36,4275,1.05,366,0.62,1.02,1,44.5,375.75,14.5,95.161,1.4808E-37
2.7,4.36,4275,1.05,366,0.62,1.02,1.05,9,527.75,26.5,99.735,1.2567E-43
2.7,4.36,4275,1.05,366,0.62,1.02,1.35,20.25,411.5,22,98.82,2.0033E-53
2.7,4.36,4275,1.05,366,0.62,1.02,0.55,19.25,101,39,93.888,0.037212
2.7,4.36,4275,1.05,366,0.62,1.02,0.8,14.75,172.75,57,106.611,0.013975
2.7,4.36,4275,1.05,366,0.62,1.02,0.75,32.75,193.25,65.5,110.8,0.016669
2.7,4.36,4275,1.05,366,0.62,1.02,1.25,86.25,588,49.5,125.227,1.2068E-15
2.7,4.36,4275,1.05,366,0.62,1.02,1.15,26.75,237.75,34,104.037,0.0000023925
2.7,4.36,4275,1.05,366,0.62,1.02,0.45,38.75,479,74,148.71,0.00010241
2.7,4.36,4275,1.05,366,0.62,1.02,0.65,42.5,315.25,50.5,120.03,0.00024242
2.8,2.22,3351,4.4,408,1.46,1.2,0.95,31.25,572.25,24,71.963,1.1663E-12
2.8,2.22,3351,4.4,408,1.46,1.2,0.5,16.75,98.25,43.5,-151.067,0.0037253
2.8,2.22,3351,4.4,408,1.46,1.2,1.4,35.25,485,57,85.472,2.9143E-10
2.8,2.22,3351,4.4,408,1.46,1.2,0.8,26,247.25,49,81.479,0.0000155
2.8,2.22,3351,4.4,408,1.46,1.2,1,39.75,212.25,32.5,74.543,0.0020394
2.8,2.22,3351,4.4,408,1.46,1.2,1.15,9,170.5,16,-308.319,0.024134
2.8,2.22,3351,4.4,408,1.46,1.2,0.55,52.75,407.75,67.5,-1795.814,0.00000043716
2.8,2.22,3351,4.4,408,1.46,1.2,0.65,43.5,376.25,27.5,72.937,0.0000015658
2.8,2.22,3351,4.4,408,1.46,1.2,1.3,14.5,290,54.5,83.208,0.000019869
2.8,2.22,3351,4.4,408,1.46,1.2,0.7,89.75,546.25,74.5,121.553,9.3399E-13
1.15,4.46,2937,2.15,302,1.96,1.36,1.1,18.5,177,17.5,59.437,1.4324E-32
1.15,4.46,2937,2.15,302,1.96,1.36,0.85,55,394.25,34.5,68.182,5.0294E-34
1.15,4.46,2937,2.15,302,1.96,1.36,1.2,59,522.75,38.5,70.341,1.0671E-132
1.15,4.46,2937,2.15,302,1.96,1.36,0.7,13.75,229.25,49.5,70.982,0.00000005886
1.15,4.46,2937,2.15,302,1.96,1.36,1,60,366.5,29,65.714,2.2988E-21
1.15,4.46,2937,2.15,302,1.96,1.36,1,11.25,116.5,63.5,70.559,0.0045271
1.15,4.46,2937,2.15,302,1.96,1.36,0.75,51,548.25,55,77.67,3.1996E-75
1.15,4.46,2937,2.15,302,1.96,1.36,0.5,51.75,263,61,79.383,0.000000084755
1.15,4.46,2937,2.15,302,1.96,1.36,0.6,11.25,492,69.5,80.918,3.6743E-23
1.15,4.46,2937,2.15,302,1.96,1.36,1.35,59.25,328.5,24,62.88,2.9751E-15
4.8,4.18,4496,1.8,315,0.66,1.12,1,15.5,243,37.5,97.883,0.00064769
4.8,4.18,4496,1.8,315,0.66,1.12,1.3,72.5,477.5,29.5,102.482,8.5452E-19
4.8,4.18,4496,1.8,315,0.66,1.12,0.85,20,168.25,19,92.701,0.000000042542
4.8,4.18,4496,1.8,315,0.66,1.12,1.15,68.5,380.75,16.5,90.446,1.0437E-24
4.8,4.18,4496,1.8,315,0.66,1.12,0.65,9.5,591.25,69.5,167.535,0.000010221
4.8,4.18,4496,1.8,315,0.66,1.12,0.4,41.25,317.25,60.5,120.395,0.0043452
4.8,4.18,4496,1.8,315,0.66,1.12,1,12,98.25,52,88.299,0.031514
4.8,4.18,4496,1.8,315,0.66,1.12,1.25,105.75,548,66,164.014,0.0000068692
4.8,4.18,4496,1.8,315,0.66,1.12,0.75,46,405,33.5,101.166,0.0000000023283
4.8,4.18,4496,1.8,315,0.66,1.12,0.6,17.5,206.5,49.5,98.316,0.012481
2.2,3.74,2336,2.6,547,1.32,0.6,0.45,12,423,30,79.667,0.00000007242
2.2,3.74,2336,2.6,547,1.32,0.6,1.2,50,351.25,34.5,82.082,3.6143E-10
2.2,3.74,2336,2.6,547,1.32,0.6,0.8,69.75,452.25,24,76.572,0.000000049924
2.2,3.74,2336,2.6,547,1.32,0.6,0.7,37,192.75,13.5,-357.501,0.00000050933
2.2,3.74,2336,2.6,547,1.32,0.6,0.55,17.75,164.25,68,90.626,0.0028724
2.2,3.74,2336,2.6,547,1.32,0.6,1.1,20.5,269.25,59.5,90.787,0.000007222
2.2,3.74,2336,2.6,547,1.32,0.6,1.35,14.5,107,50,82.965,0.036486
2.2,3.74,2336,2.6,547,1.32,0.6,0.85,50.25,289.75,45,87.422,0.000000010116
2.2,3.74,2336,2.6,547,1.32,0.6,1,24,576.25,38.5,83.207,4.5418E-18
2.2,3.74,2336,2.6,547,1.32,0.6,1.05,59.25,499.5,72.5,102.205,1.0288E-13
1.55,3.94,4399,1.9,518,0.68,1.88,1,36.25,190.75,42.5,111.574,0.00036111
1.55,3.94,4399,1.9,518,0.68,1.88,1.15,19.75,298,18,100.612,2.8272E-35
1.55,3.94,4399,1.9,518,0.68,1.88,1.3,13.25,126,74,102.139,0.040754
1.55,3.94,4399,1.9,518,0.68,1.88,1.25,21.5,581.25,36.5,108.733,5.807E-17
1.55,3.94,4399,1.9,518,0.68,1.88,0.75,63.5,505,55,123.275,0.000000072028
1.55,3.94,4399,1.9,518,0.68,1.88,0.55,24,154.25,66,107.374,0.029715
1.55,3.94,4399,1.9,518,0.68,1.88,0.95,66.75,471.25,30,107.861,3.7499E-18
1.55,3.94,4399,1.9,518,0.68,1.88,0.7,41.5,239.25,23.5,104.764,6.9038E-11
1.55,3.94,4399,1.9,518,0.68,1.88,0.9,40.5,416.25,44,112.988,0.000000015561
1.55,3.94,4399,1.9,518,0.68,1.88,0.45,8.25,380,61.5,118.417,0.00048515
3,4,4030,3.8,417,1.78,0.7,0.6,58,522.5,21.5,83.538,1.6109E-15
