width,space,length,gnd_width,unshield_length,via_thickness,metal_thickness,vin,vrise,period,txres,delay
3.5,4.7,3725.0,2.95,356.0,1.74,0.64,1.2,15.75,142.0,73.0, 88.647
3.5,4.7,3725.0,2.95,356.0,1.74,0.64,0.65,41.25,346.75,55.5, 97.796
3.75,2.36,1983.0,2.3,555.0,1.6,0.76,1.0,22.25,126.5,42.0, -212.825
3.75,2.36,1983.0,2.3,555.0,1.6,0.76,0.4,60.25,572.75,66.5, 83.698
3.75,2.36,1983.0,2.3,555.0,1.6,0.76,1.15,51.0,360.75,20.0, 63.313
3.75,2.36,1983.0,2.3,555.0,1.6,0.76,0.8,14.75,233.0,51.0, 75.692
2.9,2.64,4734.0,4.3,354.0,1.58,0.66,1.1,22.25,127.25,22.5, 90.441
2.9,2.64,4734.0,4.3,354.0,1.58,0.66,0.55,11.75,428.5,30.5, 95.668
2.9,2.64,4734.0,4.3,354.0,1.58,0.66,0.7,33.75,288.0,56.5, 111.434
2.9,2.64,4734.0,4.3,354.0,1.58,0.66,1.35,56.75,599.25,60.0, 125.100
1.9,3.66,1799.0,3.9,424.0,1.98,0.72,1.15,54.0,292.75,67.5, 75.647
1.9,3.66,1799.0,3.9,424.0,1.98,0.72,0.7,52.25,443.75,22.0, 56.068
1.9,3.66,1799.0,3.9,424.0,1.98,0.72,1.4,57.0,549.0,56.0, 72.674
1.9,3.66,1799.0,3.9,424.0,1.98,0.72,0.65,9.5,103.75,34.0, 65.306
0.9,2.66,1789.0,2.1,559.0,0.68,0.86,0.8,88.5,496.25,33.5, 85.573
0.9,2.66,1789.0,2.1,559.0,0.68,0.86,0.95,13.25,465.25,63.5, 95.356
0.9,2.66,1789.0,2.1,559.0,0.68,0.86,1.2,25.5,323.75,27.0, 80.532
0.9,2.66,1789.0,2.1,559.0,0.68,0.86,0.6,14.0,98.0,44.5, 81.862
4.55,3.9,4183.0,3.05,344.0,1.18,1.46,1.35,21.75,162.5,41.0, 84.812
4.55,3.9,4183.0,3.05,344.0,1.18,1.46,0.65,12.5,362.25,70.0, -1588.454
4.55,3.9,4183.0,3.05,344.0,1.18,1.46,0.8,50.75,263.5,56.5, -728.113
4.55,3.9,4183.0,3.05,344.0,1.18,1.46,1.0,45.75,530.0,16.0, 74.264
1.75,3.2,3152.0,3.2,493.0,0.78,1.9,0.95,53.0,279.0,27.5, 79.478
1.75,3.2,3152.0,3.2,493.0,0.78,1.9,0.55,46.5,388.5,34.5, 83.990
1.75,3.2,3152.0,3.2,493.0,0.78,1.9,0.7,17.5,157.75,55.0, 87.794
1.75,3.2,3152.0,3.2,493.0,0.78,1.9,1.35,21.0,561.75,71.5, -2509.163
4.65,2.48,3288.0,1.05,534.0,1.1,1.24,1.1,12.5,105.75,60.5, -159.524
4.65,2.48,3288.0,1.05,534.0,1.1,1.24,1.15,17.5,378.25,18.0, -763.513
4.65,2.48,3288.0,1.05,534.0,1.1,1.24,0.65,94.0,481.75,58.0, 104.750
4.65,2.48,3288.0,1.05,534.0,1.1,1.24,0.75,40.75,264.25,40.5, 87.173
2.85,2.1,3129.0,2.85,560.0,1.0,0.44,0.45,26.0,164.0,72.5, 113.051
2.85,2.1,3129.0,2.85,560.0,1.0,0.44,0.95,17.25,347.0,53.5, 117.928
2.85,2.1,3129.0,2.85,560.0,1.0,0.44,1.2,85.5,522.25,42.0, 117.226
2.85,2.1,3129.0,2.85,560.0,1.0,0.44,0.85,23.5,215.25,19.5, 104.127
3.8,2.3,2575.0,2.45,319.0,0.62,1.26,0.9,18.0,177.0,30.0, -328.240
3.8,2.3,2575.0,2.45,319.0,0.62,1.26,0.65,23.5,451.75,58.0, -1777.826
3.8,2.3,2575.0,2.45,319.0,0.62,1.26,1.15,43.25,217.25,17.5, 65.746
3.8,2.3,2575.0,2.45,319.0,0.62,1.26,0.65,70.0,575.75,66.0, 121.451
2.45,2.98,4479.0,3.3,358.0,0.8,1.26,0.75,79.25,590.0,69.5, 154.525
2.45,2.98,4479.0,3.3,358.0,0.8,1.26,0.4,10.5,88.5,20.0, 84.995
2.45,2.98,4479.0,3.3,358.0,0.8,1.26,1.15,67.25,373.25,45.5, 110.913
2.45,2.98,4479.0,3.3,358.0,0.8,1.26,0.95,8.75,325.25,36.0, 99.859
2.05,4.9,1597.0,4.6,327.0,0.88,1.6,1.3,16.5,533.5,26.0, 52.673
2.05,4.9,1597.0,4.6,327.0,0.88,1.6,0.75,24.25,344.5,72.5, -1529.899
2.05,4.9,1597.0,4.6,327.0,0.88,1.6,0.5,40.25,211.75,56.0, 62.723
