width,space,length,gnd_width,unshield_length,via_thickness,metal_thickness,vin,vrise,period,txres,delay
0.9,3.66,2334.0,2.4,565.0,1.46,1.12,0.95,17.0,107.25,27.5, 77.795
0.9,3.66,2334.0,2.4,565.0,1.46,1.12,1.3,72.25,394.0,37.5, 81.975
0.9,3.66,2334.0,2.4,565.0,1.46,1.12,0.6,21.75,332.75,75.0, 94.025
3.55,4.4,1837.0,1.95,322.0,1.04,1.84,1.0,15.5,459.0,58.0, -1886.664
3.55,4.4,1837.0,1.95,322.0,1.04,1.84,1.2,36.75,243.0,35.0, 55.287
3.55,4.4,1837.0,1.95,322.0,1.04,1.84,0.75,91.0,576.25,19.0, 44.331
3.55,4.4,1837.0,1.95,322.0,1.04,1.84,0.55,19.75,189.5,66.5, -527.618
1.1,2.86,4502.0,4.85,375.0,1.98,0.56,0.6,37.5,427.75,63.0, 168.001
1.1,2.86,4502.0,4.85,375.0,1.98,0.56,1.0,15.75,87.0,53.5, 541.180
1.1,2.86,4502.0,4.85,375.0,1.98,0.56,1.25,39.75,290.75,43.0, 142.410
1.1,2.86,4502.0,4.85,375.0,1.98,0.56,0.8,11.5,546.5,23.0, 133.602
2.3,2.7,4051.0,1.1,366.0,0.46,2.0,1.25,32.25,323.5,59.0, -902.164
2.3,2.7,4051.0,1.1,366.0,0.46,2.0,0.7,94.0,476.0,72.0, 153.443
2.3,2.7,4051.0,1.1,366.0,0.46,2.0,1.0,9.25,88.5,30.5, -119.668
2.3,2.7,4051.0,1.1,366.0,0.46,2.0,0.45,57.5,401.5,26.0, 95.841
2.2,2.68,1526.0,1.9,593.0,1.66,1.34,0.9,36.25,390.0,35.5, 64.263
2.2,2.68,1526.0,1.9,593.0,1.66,1.34,1.25,45.25,275.75,64.5, 73.389
2.2,2.68,1526.0,1.9,593.0,1.66,1.34,0.4,18.75,479.0,22.0, 57.767
2.2,2.68,1526.0,1.9,593.0,1.66,1.34,1.05,13.25,84.25,54.5, -121.906
2.65,3.46,4384.0,1.5,316.0,1.56,0.88,0.9,30.25,550.5,67.0, 106.328
2.65,3.46,4384.0,1.5,316.0,1.56,0.88,0.65,50.25,305.0,39.5, 93.209
2.65,3.46,4384.0,1.5,316.0,1.56,0.88,1.0,30.75,199.75,53.0, 93.313
2.65,3.46,4384.0,1.5,316.0,1.56,0.88,1.2,41.25,431.25,22.0, 82.837
3.75,4.6,4814.0,3.5,397.0,1.0,0.7,0.75,28.25,320.25,67.0, 137.349
3.75,4.6,4814.0,3.5,397.0,1.0,0.7,1.2,70.0,449.25,51.5, 136.936
3.75,4.6,4814.0,3.5,397.0,1.0,0.7,0.4,8.25,496.75,36.0, 116.157
3.75,4.6,4814.0,3.5,397.0,1.0,0.7,1.0,22.75,170.25,25.5, 108.873
3.95,2.28,3250.0,2.35,449.0,1.24,1.74,0.4,18.0,198.5,23.5, -371.880
3.95,2.28,3250.0,2.35,449.0,1.24,1.74,0.9,11.0,249.0,74.0, -1062.500
3.95,2.28,3250.0,2.35,449.0,1.24,1.74,0.75,71.0,594.25,52.5, 90.890
3.95,2.28,3250.0,2.35,449.0,1.24,1.74,1.2,56.75,347.0,35.5, 76.574
2.55,4.7,3359.0,1.15,549.0,0.88,0.48,1.2,33.75,251.75,30.5, 109.556
2.55,4.7,3359.0,1.15,549.0,0.88,0.48,1.05,15.75,170.5,21.0, 105.383
2.55,4.7,3359.0,1.15,549.0,0.88,0.48,0.65,68.0,380.75,63.0, 131.944
2.55,4.7,3359.0,1.15,549.0,0.88,0.48,0.4,10.5,484.75,54.0, 123.938
2.6,3.38,3795.0,2.35,348.0,0.4,1.16,0.7,57.25,513.0,35.5, 122.772
2.6,3.38,3795.0,2.35,348.0,0.4,1.16,0.65,50.75,310.0,51.0, 132.714
2.6,3.38,3795.0,2.35,348.0,0.4,1.16,1.05,19.25,380.5,63.0, -872.852
2.6,3.38,3795.0,2.35,348.0,0.4,1.16,1.35,22.5,189.25,17.0, 105.564
2.9,4.48,3173.0,2.0,343.0,1.6,0.42,0.95,25.0,419.0,17.5, 76.956
2.9,4.48,3173.0,2.0,343.0,1.6,0.42,1.15,21.75,173.75,30.0, 82.835
2.9,4.48,3173.0,2.0,343.0,1.6,0.42,0.75,35.0,550.5,62.5, 105.330
2.9,4.48,3173.0,2.0,343.0,1.6,0.42,0.45,45.5,246.5,44.0, 91.968
3.35,3.32,1934.0,1.7,382.0,0.94,1.54,0.75,43.25,232.0,16.0, 52.486
3.35,3.32,1934.0,1.7,382.0,0.94,1.54,0.4,29.0,503.5,40.0, 63.822
3.35,3.32,1934.0,1.7,382.0,0.94,1.54,1.0,58.0,395.0,60.5, 72.994
3.35,3.32,1934.0,1.7,382.0,0.94,1.54,1.2,13.0,100.0,45.5, -165.406
3.45,3.72,2628.0,0.9,306.0,1.16,1.92,1.3,46.5,290.25,22.0, 56.139
3.45,3.72,2628.0,0.9,306.0,1.16,1.92,0.5,73.0,570.0,47.0, 72.568
3.45,3.72,2628.0,0.9,306.0,1.16,1.92,0.8,26.75,361.25,28.5, 59.137
3.45,3.72,2628.0,0.9,306.0,1.16,1.92,1.05,10.0,210.0,67.0, -583.874
4.4,2.16,3193.0,3.7,558.0,1.5,1.46,0.75,55.75,373.75,33.5, 81.205
4.4,2.16,3193.0,3.7,558.0,1.5,1.46,1.15,38.5,490.25,27.0, 78.980
4.4,2.16,3193.0,3.7,558.0,1.5,1.46,0.95,32.25,185.5,55.5, 90.012
4.4,2.16,3193.0,3.7,558.0,1.5,1.46,0.45,15.75,231.5,62.5, -891.092
3.9,3.0,1888.0,4.0,519.0,0.82,1.82,1.05,59.5,349.25,66.5, -1142.187
3.9,3.0,1888.0,4.0,519.0,0.82,1.82,0.7,67.25,544.75,38.5, 73.310
3.9,3.0,1888.0,4.0,519.0,0.82,1.82,0.6,9.5,213.5,54.0, -407.466
3.9,3.0,1888.0,4.0,519.0,0.82,1.82,1.35,24.25,207.5,21.0, -661.495
1.9,4.12,2596.0,2.1,597.0,0.94,1.64,1.3,62.5,566.75,40.0, 84.327
1.9,4.12,2596.0,2.1,597.0,0.94,1.64,1.0,42.0,248.25,27.5, -83.542
1.9,4.12,2596.0,2.1,597.0,0.94,1.64,0.55,17.75,447.5,68.5, 93.672
1.9,4.12,2596.0,2.1,597.0,0.94,1.64,0.85,11.5,87.75,47.0, -120.590
1.0,3.26,2200.0,4.7,436.0,1.54,0.4,0.6,43.5,344.25,34.0, 100.843
1.0,3.26,2200.0,4.7,436.0,1.54,0.4,1.05,17.75,97.75,56.0, 86.309
1.0,3.26,2200.0,4.7,436.0,1.54,0.4,0.7,27.25,242.75,62.5, 114.646
1.0,3.26,2200.0,4.7,436.0,1.54,0.4,1.2,25.5,544.5,24.5, 92.603
4.0,2.74,2847.0,3.6,340.0,1.66,1.94,0.45,74.5,546.5,29.0, 59.195
4.0,2.74,2847.0,3.6,340.0,1.66,1.94,1.15,18.0,348.5,59.5, -1540.923
4.0,2.74,2847.0,3.6,340.0,1.66,1.94,0.8,22.75,128.25,53.0, -333.689
4.0,2.74,2847.0,3.6,340.0,1.66,1.94,1.3,25.25,238.5,19.0, 56.972
2.25,2.22,1617.0,2.6,421.0,1.7,1.6,1.15,48.75,312.0,21.5, 51.014
2.25,2.22,1617.0,2.6,421.0,1.7,1.6,1.0,10.5,177.5,40.0, 56.518
2.25,2.22,1617.0,2.6,421.0,1.7,1.6,0.6,50.5,503.0,62.0, 65.649
2.25,2.22,1617.0,2.6,421.0,1.7,1.6,0.85,60.75,361.5,51.0, 62.158
3.2,2.6,3657.0,1.9,596.0,0.52,1.44,0.65,53.0,274.25,49.5, 113.459
3.2,2.6,3657.0,1.9,596.0,0.52,1.44,0.75,37.0,455.25,63.5, -1289.629
3.2,2.6,3657.0,1.9,596.0,0.52,1.44,0.95,28.75,180.75,43.0, 110.509
3.2,2.6,3657.0,1.9,596.0,0.52,1.44,1.4,21.5,537.0,17.5, 101.157
2.9,3.5,4882.0,1.0,418.0,1.54,0.44,0.75,32.5,428.25,48.5, 134.845
2.9,3.5,4882.0,1.0,418.0,1.54,0.44,1.2,47.5,241.25,14.0, 108.820
2.9,3.5,4882.0,1.0,418.0,1.54,0.44,1.0,11.5,116.5,37.5, 105.788
2.9,3.5,4882.0,1.0,418.0,1.54,0.44,0.55,77.75,575.25,70.0, 163.169
2.7,4.44,4573.0,3.45,413.0,0.7,1.86,1.4,32.5,487.5,75.0, -2143.291
2.7,4.44,4573.0,3.45,413.0,0.7,1.86,1.05,58.5,342.5,55.0, -954.580
2.7,4.44,4573.0,3.45,413.0,0.7,1.86,0.45,12.0,315.0,23.0, 97.755
2.7,4.44,4573.0,3.45,413.0,0.7,1.86,0.8,17.75,137.75,37.0, 95.765
4.5,3.18,1984.0,2.6,313.0,2.0,1.02,0.75,16.25,305.75,48.5, 58.357
4.5,3.18,1984.0,2.6,313.0,2.0,1.02,1.25,80.25,472.5,70.0, 76.891
4.5,3.18,1984.0,2.6,313.0,2.0,1.02,1.1,43.0,464.5,28.0, 51.630
4.5,3.18,1984.0,2.6,313.0,2.0,1.02,0.6,22.75,180.25,13.0, -354.656
2.65,4.38,4750.0,3.15,367.0,0.56,1.52,1.15,68.5,572.0,44.5, 138.406
2.65,4.38,4750.0,3.15,367.0,0.56,1.52,0.4,13.5,183.25,14.0, 105.881
2.65,4.38,4750.0,3.15,367.0,0.56,1.52,0.9,79.0,443.0,34.0, 123.726
2.65,4.38,4750.0,3.15,367.0,0.56,1.52,1.05,28.5,266.0,59.5, 134.255
1.9,4.06,3520.0,5.0,545.0,1.9,1.8,1.05,84.0,422.5,67.5, 95.825
1.9,4.06,3520.0,5.0,545.0,1.9,1.8,0.55,37.5,239.0,46.5, 81.382
1.9,4.06,3520.0,5.0,545.0,1.9,1.8,0.8,12.5,137.5,31.5, -230.308
1.9,4.06,3520.0,5.0,545.0,1.9,1.8,1.4,57.0,550.0,26.0, 74.892
3.25,3.54,4937.0,4.45,385.0,1.08,1.22,1.2,10.5,504.75,65.0, -1971.140
3.25,3.54,4937.0,4.45,385.0,1.08,1.22,0.45,42.5,238.25,21.0, 93.692
3.25,3.54,4937.0,4.45,385.0,1.08,1.22,1.15,26.25,196.0,35.5, 99.410
3.25,3.54,4937.0,4.45,385.0,1.08,1.22,0.65,35.0,447.75,53.0, 110.150
3.6,2.4,2246.0,3.9,515.0,1.02,0.48,0.95,45.25,534.75,68.5, 102.874
3.6,2.4,2246.0,3.9,515.0,1.02,0.48,1.15,60.0,429.25,43.0, 91.507
3.6,2.4,2246.0,3.9,515.0,1.02,0.48,0.85,50.75,266.0,48.5, 92.075
3.6,2.4,2246.0,3.9,515.0,1.02,0.48,0.55,11.0,197.75,13.5, -363.194
1.65,2.32,2213.0,4.3,443.0,1.84,1.72,1.35,13.5,494.0,54.0, 68.616
1.65,2.32,2213.0,4.3,443.0,1.84,1.72,0.5,22.25,185.25,20.0, 54.150
1.65,2.32,2213.0,4.3,443.0,1.84,1.72,0.9,41.0,327.75,66.5, -942.535
1.65,2.32,2213.0,4.3,443.0,1.84,1.72,0.9,69.5,423.75,29.0, 60.083
2.45,4.88,3314.0,2.55,517.0,1.22,0.64,0.7,39.25,276.5,67.5, 109.111
2.45,4.88,3314.0,2.55,517.0,1.22,0.64,0.9,8.5,492.5,26.5, 91.056
2.45,4.88,3314.0,2.55,517.0,1.22,0.64,1.25,33.25,184.5,54.5, 102.483
2.45,4.88,3314.0,2.55,517.0,1.22,0.64,0.55,39.25,422.75,31.5, 96.159
3.3,2.76,3426.0,3.55,570.0,1.34,1.66,1.0,63.0,416.25,35.0, 83.657
3.3,2.76,3426.0,3.55,570.0,1.34,1.66,0.85,24.75,505.5,64.0, -2243.271
3.3,2.76,3426.0,3.55,570.0,1.34,1.66,0.65,21.75,110.75,48.0, -170.938
3.3,2.76,3426.0,3.55,570.0,1.34,1.66,1.3,23.25,237.0,15.0, -751.739
2.35,2.14,3599.0,0.85,348.0,1.78,1.9,0.65,28.0,213.5,27.5, 70.009
2.35,2.14,3599.0,0.85,348.0,1.78,1.9,0.95,28.25,145.5,66.5, 77.778
2.35,2.14,3599.0,0.85,348.0,1.78,1.9,1.3,32.75,368.25,37.0, 73.110
2.35,2.14,3599.0,0.85,348.0,1.78,1.9,0.45,31.75,573.25,44.0, 75.401
3.85,2.08,3475.0,0.95,580.0,1.18,1.88,1.3,53.5,363.0,74.0, -1435.422
3.85,2.08,3475.0,0.95,580.0,1.18,1.88,0.45,39.75,241.0,16.5, -461.910
3.85,2.08,3475.0,0.95,580.0,1.18,1.88,0.8,8.5,134.25,52.0, -219.096
3.85,2.08,3475.0,0.95,580.0,1.18,1.88,0.95,55.75,558.5,39.5, 88.933
4.3,4.36,2370.0,1.45,439.0,1.72,0.84,0.6,24.0,212.25,54.0, 73.770
4.3,4.36,2370.0,1.45,439.0,1.72,0.84,0.85,69.25,569.25,23.5, 61.697
4.3,4.36,2370.0,1.45,439.0,1.72,0.84,1.3,15.75,204.25,28.5, -152.079
4.3,4.36,2370.0,1.45,439.0,1.72,0.84,0.9,90.5,466.75,73.5, 90.565
2.3,4.62,2815.0,1.1,328.0,1.74,1.98,0.9,57.75,408.0,42.0, 65.743
2.3,4.62,2815.0,1.1,328.0,1.74,1.98,1.2,16.25,87.0,57.5, -135.870
2.3,4.62,2815.0,1.1,328.0,1.74,1.98,0.9,11.5,225.5,25.0, 59.022
2.3,4.62,2815.0,1.1,328.0,1.74,1.98,0.45,41.5,574.25,61.5, 72.299
2.1,3.34,1658.0,1.25,511.0,1.58,1.66,1.25,11.75,268.75,73.0, 71.368
2.1,3.34,1658.0,1.25,511.0,1.58,1.66,0.9,30.5,395.5,53.0, 66.494
2.1,3.34,1658.0,1.25,511.0,1.58,1.66,0.5,55.5,497.25,35.5, 60.379
2.1,3.34,1658.0,1.25,511.0,1.58,1.66,0.85,15.75,89.0,27.0, -135.263
2.45,4.52,3892.0,3.2,476.0,1.44,0.68,0.55,96.75,524.5,21.5, 91.638
2.45,4.52,3892.0,3.2,476.0,1.44,0.68,1.3,8.5,181.0,73.0, 104.987
2.45,4.52,3892.0,3.2,476.0,1.44,0.68,1.1,54.5,459.75,49.0, 109.369
2.45,4.52,3892.0,3.2,476.0,1.44,0.68,0.75,26.0,302.75,30.0, 95.104
4.15,4.2,2058.0,1.6,388.0,0.48,1.06,0.55,16.0,85.25,35.0, -127.017
4.15,4.2,2058.0,1.6,388.0,0.48,1.06,1.05,33.5,348.75,14.0, -710.864
4.15,4.2,2058.0,1.6,388.0,0.48,1.06,0.75,29.75,240.5,48.5, 79.180
4.15,4.2,2058.0,1.6,388.0,0.48,1.06,1.25,32.75,596.0,61.5, -2682.482
3.75,4.0,1568.0,4.6,401.0,0.66,1.62,0.75,92.25,504.0,17.0, 51.798
3.75,4.0,1568.0,4.6,401.0,0.66,1.62,0.65,25.25,367.0,58.0, 75.635
3.75,4.0,1568.0,4.6,401.0,0.66,1.62,1.3,9.5,80.25,60.5, -124.197
3.75,4.0,1568.0,4.6,401.0,0.66,1.62,1.05,41.5,300.75,38.0, 67.090
4.7,2.46,2379.0,4.8,571.0,0.64,1.5,0.7,9.25,189.5,40.0, 93.458
4.7,2.46,2379.0,4.8,571.0,0.64,1.5,1.05,68.5,547.5,24.5, 85.677
4.7,2.46,2379.0,4.8,571.0,0.64,1.5,0.45,62.75,315.75,47.5, 102.461
4.7,2.46,2379.0,4.8,571.0,0.64,1.5,1.2,37.0,436.75,67.5, -1925.751
3.95,2.38,2415.0,4.55,485.0,1.1,0.66,0.85,23.25,194.25,53.5, 88.688
3.95,2.38,2415.0,4.55,485.0,1.1,0.66,1.05,114.0,596.5,13.5, 65.617
3.95,2.38,2415.0,4.55,485.0,1.1,0.66,0.6,12.25,271.0,69.0, 92.132
3.95,2.38,2415.0,4.55,485.0,1.1,0.66,1.25,56.0,423.0,37.0, 83.182
2.85,4.82,3761.0,2.1,355.0,0.58,1.22,1.05,48.25,516.5,35.0, 100.920
2.85,4.82,3761.0,2.1,355.0,0.58,1.22,0.65,13.75,270.25,62.0, 113.291
2.85,4.82,3761.0,2.1,355.0,0.58,1.22,0.9,17.0,119.5,19.0, 88.863
2.85,4.82,3761.0,2.1,355.0,0.58,1.22,1.15,83.5,433.0,54.0, 124.682
4.55,3.6,3925.0,3.4,326.0,0.44,1.76,1.05,13.5,164.75,74.5, -207.453
4.55,3.6,3925.0,3.4,326.0,0.44,1.76,0.6,58.25,341.25,15.0, 89.857
4.55,3.6,3925.0,3.4,326.0,0.44,1.76,1.15,45.25,311.75,55.5, -1175.251
4.55,3.6,3925.0,3.4,326.0,0.44,1.76,0.7,43.75,567.0,36.0, -2534.842
4.85,4.96,2298.0,4.55,525.0,1.7,1.24,0.95,15.75,252.75,65.0, 77.434
