width,space,length,gnd_width,unshield_length,via_thickness,metal_thickness,vin,vrise,period,txres,delay
3.35,4.98,3014.0,3.4,458.0,0.98,0.7,0.95,11.5,95.0,64.0, -138.064
3.35,4.98,3014.0,3.4,458.0,0.98,0.7,0.5,26.75,551.5,34.5, 89.569
3.35,4.98,3014.0,3.4,458.0,0.98,0.7,1.2,86.0,438.75,14.5, 77.535
3.35,4.98,3014.0,3.4,458.0,0.98,0.7,0.7,38.5,297.5,45.5, 95.365
1.45,3.36,2884.0,2.65,395.0,0.84,1.32,1.3,16.25,137.5,50.0, 81.466
1.45,3.36,2884.0,2.65,395.0,0.84,1.32,1.1,73.0,425.75,37.5, 83.072
1.45,3.36,2884.0,2.65,395.0,0.84,1.32,0.7,11.5,253.0,73.5, 90.716
1.45,3.36,2884.0,2.65,395.0,0.84,1.32,0.45,76.25,594.0,17.0, 70.265
4.05,2.56,3557.0,4.35,573.0,0.98,0.82,1.25,12.5,96.0,37.5, -127.140
4.05,2.56,3557.0,4.35,573.0,0.98,0.82,0.95,48.75,286.75,48.5, 107.994
4.05,2.56,3557.0,4.35,573.0,0.98,0.82,0.75,22.0,405.75,63.5, 120.905
4.05,2.56,3557.0,4.35,573.0,0.98,0.82,0.4,82.25,599.25,26.0, 100.659
3.7,3.82,2480.0,1.65,464.0,0.54,1.82,0.65,21.0,531.5,38.0, 81.665
3.7,3.82,2480.0,1.65,464.0,0.54,1.82,1.05,23.25,332.75,68.0, -1452.829
3.7,3.82,2480.0,1.65,464.0,0.54,1.82,0.8,27.25,181.25,48.0, 85.312
3.7,3.82,2480.0,1.65,464.0,0.54,1.82,1.3,77.0,433.75,26.5, 75.483
4.65,3.14,4097.0,3.75,468.0,1.12,1.42,0.85,24.0,202.5,73.0, -757.562
4.65,3.14,4097.0,3.75,468.0,1.12,1.42,0.9,76.25,462.75,38.0, 99.233
4.65,3.14,4097.0,3.75,468.0,1.12,1.42,0.55,39.0,274.0,17.0, -530.878
4.65,3.14,4097.0,3.75,468.0,1.12,1.42,1.15,30.25,520.5,53.5, -2109.820
2.1,2.34,4929.0,4.85,536.0,1.26,0.86,0.9,39.25,197.25,18.0, -505.341
2.1,2.34,4929.0,4.85,536.0,1.26,0.86,0.7,44.75,400.0,38.5, -1491.870
2.1,2.34,4929.0,4.85,536.0,1.26,0.86,1.35,22.5,300.5,57.5, -1089.783
2.1,2.34,4929.0,4.85,536.0,1.26,0.86,0.6,15.5,545.0,70.0, -1348.890
4.55,3.76,2966.0,3.05,332.0,1.82,0.6,0.9,28.25,359.75,35.5, 71.433
4.55,3.76,2966.0,3.05,332.0,1.82,0.6,0.85,28.75,202.0,44.5, 74.530
4.55,3.76,2966.0,3.05,332.0,1.82,0.6,1.3,30.75,581.75,59.5, 81.682
4.55,3.76,2966.0,3.05,332.0,1.82,0.6,0.6,43.5,262.75,26.0, 68.022
1.65,3.94,3326.0,4.65,312.0,0.72,1.4,0.65,71.75,419.25,48.0, 94.840
1.65,3.94,3326.0,4.65,312.0,0.72,1.4,0.95,12.25,198.75,23.0, 73.927
1.65,3.94,3326.0,4.65,312.0,0.72,1.4,1.25,35.0,289.75,69.5, -1101.392
1.65,3.94,3326.0,4.65,312.0,0.72,1.4,0.55,47.25,476.5,34.0, 82.150
4.9,2.92,3087.0,1.0,505.0,0.78,0.92,0.8,50.0,551.75,72.5, -1597.889
4.9,2.92,3087.0,1.0,505.0,0.78,0.92,1.05,54.5,388.25,50.0, 97.687
4.9,2.92,3087.0,1.0,505.0,0.78,0.92,1.3,8.25,151.25,31.0, -256.241
4.9,2.92,3087.0,1.0,505.0,0.78,0.92,0.45,39.25,236.25,17.5, -447.634
4.95,3.64,2981.0,1.65,319.0,1.3,1.74,1.2,32.75,453.25,33.5, 64.300
4.95,3.64,2981.0,1.65,319.0,1.3,1.74,0.9,23.75,125.0,25.0, -217.914
4.95,3.64,2981.0,1.65,319.0,1.3,1.74,1.0,9.75,280.5,50.0, -1221.576
4.95,3.64,2981.0,1.65,319.0,1.3,1.74,0.6,85.25,565.0,70.5, 104.823
4.6,3.44,2535.0,1.4,472.0,0.5,0.62,1.0,29.25,229.25,29.5, 93.791
4.6,3.44,2535.0,1.4,472.0,0.5,0.62,0.5,36.25,480.0,59.5, 108.953
4.6,3.44,2535.0,1.4,472.0,0.5,0.62,1.3,12.5,155.5,55.5, 96.904
4.6,3.44,2535.0,1.4,472.0,0.5,0.62,0.7,72.5,406.5,18.0, 86.719
2.5,3.86,3965.0,3.0,304.0,1.2,0.98,0.5,53.25,496.75,60.0, 102.751
2.5,3.86,3965.0,3.0,304.0,1.2,0.98,1.2,46.5,355.25,44.5, 91.004
2.5,3.86,3965.0,3.0,304.0,1.2,0.98,1.1,12.25,288.25,18.5, 76.662
2.5,3.86,3965.0,3.0,304.0,1.2,0.98,0.85,33.25,179.25,41.0, 84.584
1.2,4.14,2708.0,4.15,540.0,1.36,1.34,1.15,70.25,451.25,33.5, 78.084
1.2,4.14,2708.0,4.15,540.0,1.36,1.34,0.65,75.0,494.75,25.0, 73.716
1.2,4.14,2708.0,4.15,540.0,1.36,1.34,1.4,21.75,191.5,63.0, 84.609
1.2,4.14,2708.0,4.15,540.0,1.36,1.34,0.8,11.5,227.75,49.5, 81.628
4.2,4.24,2573.0,3.9,503.0,0.6,1.3,0.75,19.75,391.5,60.5, -1715.791
4.2,4.24,2573.0,3.9,503.0,0.6,1.3,0.45,34.5,176.25,53.0, 94.547
4.2,4.24,2573.0,3.9,503.0,0.6,1.3,1.3,25.75,268.0,37.5, 89.342
4.2,4.24,2573.0,3.9,503.0,0.6,1.3,0.95,81.25,598.0,13.5, 78.292
3.15,4.28,2787.0,4.0,370.0,0.88,1.26,1.0,77.25,557.5,43.0, 84.054
3.15,4.28,2787.0,4.0,370.0,0.88,1.26,0.7,14.0,296.0,44.5, 79.752
3.15,4.28,2787.0,4.0,370.0,0.88,1.26,1.3,40.25,418.0,71.5, -1852.452
3.15,4.28,2787.0,4.0,370.0,0.88,1.26,0.4,18.0,93.5,24.5, -143.417
4.7,3.78,4526.0,3.2,563.0,1.48,1.28,1.35,20.5,168.25,56.5, 100.823
4.7,3.78,4526.0,3.2,563.0,1.48,1.28,1.1,69.5,561.75,71.0, -2267.319
4.7,3.78,4526.0,3.2,563.0,1.48,1.28,0.5,75.25,444.25,17.0, 86.454
4.7,3.78,4526.0,3.2,563.0,1.48,1.28,0.85,10.75,246.0,36.0, -457.671
4.35,3.1,4593.0,2.0,300.0,0.68,0.96,1.3,29.75,474.5,33.5, 103.058
4.35,3.1,4593.0,2.0,300.0,0.68,0.96,0.65,26.0,207.25,16.0, 93.140
4.35,3.1,4593.0,2.0,300.0,0.68,0.96,0.8,28.75,411.0,55.0, 124.490
4.35,3.1,4593.0,2.0,300.0,0.68,0.96,1.0,35.75,217.75,71.5, 127.155
3.15,2.52,4641.0,1.25,434.0,0.86,0.58,1.0,31.25,157.0,69.5, 123.088
3.15,2.52,4641.0,1.25,434.0,0.86,0.58,0.65,49.0,493.0,33.5, 122.955
3.15,2.52,4641.0,1.25,434.0,0.86,0.58,1.3,38.0,282.5,14.5, 111.701
3.15,2.52,4641.0,1.25,434.0,0.86,0.58,0.85,8.5,420.0,57.5, 136.844
1.2,3.04,1599.0,3.3,338.0,0.8,1.42,0.7,24.0,170.0,44.0, 60.070
1.2,3.04,1599.0,3.3,338.0,0.8,1.42,0.9,28.5,260.25,20.0, 51.970
1.2,3.04,1599.0,3.3,338.0,0.8,1.42,0.5,105.0,541.5,31.5, 59.706
1.2,3.04,1599.0,3.3,338.0,0.8,1.42,1.15,17.5,385.5,60.0, 66.212
3.6,2.24,2731.0,2.85,495.0,1.26,1.12,0.95,50.5,458.0,40.0, 79.853
3.6,2.24,2731.0,2.85,495.0,1.26,1.12,1.35,43.25,252.25,48.5, 81.507
3.6,2.24,2731.0,2.85,495.0,1.26,1.12,0.5,31.0,477.25,63.5, 92.679
3.6,2.24,2731.0,2.85,495.0,1.26,1.12,0.8,9.75,88.75,13.5, -126.809
1.3,2.1,3820.0,4.9,415.0,1.14,1.6,1.35,40.5,440.25,35.5, -1944.421
1.3,2.1,3820.0,4.9,415.0,1.14,1.6,0.65,11.0,169.25,57.5, -617.213
1.3,2.1,3820.0,4.9,415.0,1.14,1.6,0.55,96.5,529.75,19.5, 90.253
1.3,2.1,3820.0,4.9,415.0,1.14,1.6,1.15,33.25,233.75,64.5, -854.118
1.5,3.08,2903.0,3.8,478.0,0.8,0.82,1.35,39.0,350.75,45.0, 98.647
1.5,3.08,2903.0,3.8,478.0,0.8,0.82,0.95,24.75,251.25,60.0, 100.884
1.5,3.08,2903.0,3.8,478.0,0.8,0.82,0.7,11.75,562.75,26.5, 88.495
1.5,3.08,2903.0,3.8,478.0,0.8,0.82,0.6,18.75,103.0,38.5, 85.727
3.05,4.88,3057.0,2.2,336.0,1.62,0.84,0.8,15.75,86.5,61.0, 71.187
3.05,4.88,3057.0,2.2,336.0,1.62,0.84,1.35,11.75,239.25,43.0, 74.995
3.05,4.88,3057.0,2.2,336.0,1.62,0.84,1.1,65.25,450.5,14.5, 61.159
3.05,4.88,3057.0,2.2,336.0,1.62,0.84,0.5,37.0,524.25,59.0, 84.143
2.05,3.52,4055.0,3.65,528.0,1.06,0.46,0.5,16.0,300.75,61.5, 140.427
2.05,3.52,4055.0,3.65,528.0,1.06,0.46,0.85,16.75,184.75,40.5, 121.820
2.05,3.52,4055.0,3.65,528.0,1.06,0.46,1.25,72.0,381.0,59.0, 150.752
2.05,3.52,4055.0,3.65,528.0,1.06,0.46,1.1,73.0,599.5,23.5, 122.225
1.3,4.18,1699.0,4.95,405.0,0.72,1.04,0.8,26.5,331.5,43.5, 70.839
1.3,4.18,1699.0,4.95,405.0,0.72,1.04,0.65,83.0,575.25,41.0, 73.312
1.3,4.18,1699.0,4.95,405.0,0.72,1.04,1.3,15.25,343.25,61.0, 76.731
1.3,4.18,1699.0,4.95,405.0,0.72,1.04,0.95,32.5,165.0,15.0, -310.686
1.8,4.08,1748.0,2.25,424.0,1.8,1.3,1.3,26.5,526.0,70.0, 69.912
1.8,4.08,1748.0,2.25,424.0,1.8,1.3,0.9,39.25,461.5,27.0, 55.165
1.8,4.08,1748.0,2.25,424.0,1.8,1.3,0.5,45.75,283.0,54.5, 65.600
1.8,4.08,1748.0,2.25,424.0,1.8,1.3,0.95,21.75,171.0,36.0, 57.942
1.8,2.06,3629.0,3.85,465.0,1.4,0.9,1.0,22.5,285.0,32.0, -1110.453
1.8,2.06,3629.0,3.85,465.0,1.4,0.9,1.25,78.0,533.5,67.0, 158.317
1.8,2.06,3629.0,3.85,465.0,1.4,0.9,0.65,19.5,345.25,52.0, -1308.688
1.8,2.06,3629.0,3.85,465.0,1.4,0.9,0.55,17.75,94.25,12.5, 82.721
0.9,3.66,2334.0,2.4,565.0,1.46,1.12,0.9,42.75,493.0,46.0, 83.872
